Host,Dopant,Eseg,fcc_facet,cn,pauly_eneg_host,pauly_eneg_dopant,diff_pauly_eneg,CEb_host,CEb_dopant,diff_CEb,diff_CEb/cn,gordy_eneg_host,gordy_eneg_dopant,diff_gordy_eneg,r_host,r_dopant,diff_r,EA_host,EA_dopant,diff_EA,IP_host,IP_dopant,diff_IP,CEb_host/CN,CEb_dopant/CN,CEb_host/sqrtCN,CEb_dopant/sqrtCN,diff_CEb/sqrtCN,CEb_host*CN,CEb_dopant*CN,diff_CEb*CN,density_host,density_dopant,diff_density,lattice_const_host,lattice_const_dopant,diff_lattice_const,dipole_polar_host,dipole_polar_dopant,diff_dipole_polar
Pd,Ni,0.223,110,7,2.2,1.91,0.29000000000000026,-3.74,-4.68,0.9399999999999995,0.1342857142857142,0.054166667,0.0336363636363636,0.0205303033636364,1.69,1.49,0.19999999999999996,0.562,1.156,-0.5939999999999999,8.33686,7.639877,0.6969829999999995,-0.5342857142857144,-0.6685714285714285,-1.41358712905451,-1.7688737336831832,0.35528660462867334,-26.18,-32.76,6.579999999999998,12.02,8.902,3.1180000000000003,3.89,3.52,0.3700000000000001,26.14,49.0,-22.86
Pd,Rh,0.442,110,7,2.2,2.28,-0.07999999999999963,-3.74,-5.7,1.96,0.27999999999999997,0.054166667,0.0243999999999999,0.0297666670000001,1.69,1.73,-0.040000000000000036,0.562,1.137,-0.575,8.33686,7.4589,0.8779599999999999,-0.5342857142857144,-0.8142857142857143,-1.41358712905451,-2.1543974961525953,0.7408103670980855,-26.18,-39.9,13.719999999999999,12.02,12.41,-0.39000000000000057,3.89,3.8,0.0900000000000003,26.14,66.0,-39.86
Pd,Ir,0.798,110,7,2.2,2.2,0.0,-3.74,-7.19,3.45,0.4928571428571429,0.054166667,0.0290983606557376,0.025068306344262402,1.69,1.8,-0.1100000000000001,0.562,1.5638,-1.0018,8.33686,8.96702,-0.63016,-0.5342857142857144,-1.0271428571428571,-1.41358712905451,-2.717564560936344,1.303977431881834,-26.18,-50.330000000000005,24.150000000000006,12.02,22.42,-10.400000000000002,3.89,3.84,0.050000000000000266,26.14,54.0,-27.86
Pd,Pt,0.339,110,7,2.2,2.2,0.0,-3.74,-5.42,1.6799999999999997,0.23999999999999996,0.054166667,0.0260162601626016,0.0281504068373984,1.69,1.77,-0.08000000000000007,0.562,2.128,-1.566,8.33686,8.95883,-0.621970000000001,-0.5342857142857144,-0.7742857142857142,-1.41358712905451,-2.0485674437100116,0.6349803146555018,-26.18,-37.94,11.759999999999998,12.02,21.45,-9.43,3.89,3.92,-0.029999999999999805,26.14,48.0,-21.86
Ir,Cu,-0.971,110,7,2.2,1.9,0.30000000000000027,-7.19,-3.48,-3.7100000000000004,-0.53,0.0290983606557376,0.0299107142857142,-0.0008123536299766004,1.8,1.45,0.3500000000000001,1.5638,1.235,0.3288,8.96702,7.72638,1.24064,-1.0271428571428571,-0.49714285714285716,-2.717564560936344,-1.3153163660721108,-1.4022481948642331,-50.330000000000005,-24.36,-25.970000000000006,22.42,8.96,13.46,3.84,3.61,0.22999999999999998,54.0,46.5,7.5
Ir,Rh,-0.353,110,7,2.2,2.28,-0.07999999999999963,-7.19,-5.7,-1.4900000000000002,-0.21285714285714288,0.0290983606557376,0.0243999999999999,0.004698360655737699,1.8,1.73,0.07000000000000006,1.5638,1.137,0.42680000000000007,8.96702,7.4589,1.50812,-1.0271428571428571,-0.8142857142857143,-2.717564560936344,-2.1543974961525953,-0.5631670647837486,-50.330000000000005,-39.9,-10.430000000000007,22.42,12.41,10.010000000000002,3.84,3.8,0.040000000000000036,54.0,66.0,-12.0
Ir,Pd,-1.25,110,7,2.2,2.2,0.0,-7.19,-3.74,-3.45,-0.4928571428571429,0.0290983606557376,0.0541666666666666,-0.025068306010929,1.8,1.69,0.1100000000000001,1.5638,0.562,1.0018,8.96702,8.33686,0.63016,-1.0271428571428571,-0.5342857142857144,-2.717564560936344,-1.41358712905451,-1.303977431881834,-50.330000000000005,-26.18,-24.150000000000006,22.42,12.02,10.400000000000002,3.84,3.89,-0.050000000000000266,54.0,26.14,27.86
Ir,Au,-2.32,110,7,2.2,2.4,-0.19999999999999973,-7.19,-3.03,-4.16,-0.5942857142857143,0.0290983606557376,0.0270161290322581,0.002082231623479501,1.8,1.74,0.06000000000000005,1.5638,2.30863,-0.7448299999999999,8.96702,9.225553,-0.2585329999999999,-1.0271428571428571,-0.43285714285714283,-2.717564560936344,-1.1452323532179585,-1.5723322077183854,-50.330000000000005,-21.209999999999997,-29.120000000000008,22.42,19.3,3.120000000000001,3.84,4.08,-0.2400000000000002,54.0,36.0,18.0
Pt,Ni,0.635,110,7,2.2,1.91,0.29000000000000026,-5.42,-4.68,-0.7400000000000002,-0.10571428571428575,0.0260162601626016,0.0336363636363636,-0.0076201034737620015,1.77,1.49,0.28,2.128,1.156,0.9720000000000002,8.95883,7.639877,1.3189530000000005,-0.7742857142857142,-0.6685714285714285,-2.0485674437100116,-1.7688737336831832,-0.2796937100268284,-37.94,-32.76,-5.18,21.45,8.902,12.548,3.92,3.52,0.3999999999999999,48.0,49.0,-1.0
Pt,Cu,0.322,110,7,2.2,1.9,0.30000000000000027,-5.42,-3.48,-1.94,-0.27714285714285714,0.0260162601626016,0.0299107142857142,-0.0038944541231125986,1.77,1.45,0.32000000000000006,2.128,1.235,0.893,8.95883,7.72638,1.232450000000001,-0.7742857142857142,-0.49714285714285716,-2.0485674437100116,-1.3153163660721108,-0.7332510776379009,-37.94,-24.36,-13.579999999999998,21.45,8.96,12.489999999999998,3.92,3.61,0.31000000000000005,48.0,46.5,1.5
